Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;01019 Kripan;Mujeres;2021;84
Total Nacional;01020 Kuartango;Total;2025;402
Total Nacional;01020 Kuartango;Total;2024;409
Total Nacional;01020 Kuartango;Total;2023;401
Total Nacional;01020 Kuartango;Total;2022;420
Total Nacional;01020 Kuartango;Total;2021;395
Total Nacional;01020 Kuartango;Hombres;2025;221
Total Nacional;01020 Kuartango;Hombres;2024;229
Total Nacional;01020 Kuartango;Hombres;2023;232
Total Nacional;01020 Kuartango;Hombres;2022;241
Total Nacional;01020 Kuartango;Hombres;2021;229
Total Nacional;01020 Kuartango;Mujeres;2025;181
Total Nacional;01020 Kuartango;Mujeres;2024;180
Total Nacional;01020 Kuartango;Mujeres;2023;169
Total Nacional;01020 Kuartango;Mujeres;2022;179
Total Nacional;01020 Kuartango;Mujeres;2021;166
Total Nacional;01021 Elburgo/Burgelu;Total;2025;641
Total Nacional;01021 Elburgo/Burgelu;Total;2024;641
Total Nacional;01021 Elburgo/Burgelu;Total;2023;637
Total Nacional;01021 Elburgo/Burgelu;Total;2022;628
Total Nacional;01021 Elburgo/Burgelu;Total;2021;633
Total Nacional;01021 Elburgo/Burgelu;Hombres;2025;335
Total Nacional;01021 Elburgo/Burgelu;Hombres;2024;333
Total Nacional;01021 Elburgo/Burgelu;Hombres;2023;331
Total Nacional;01021 Elburgo/Burgelu;Hombres;2022;330
Total Nacional;01021 Elburgo/Burgelu;Hombres;2021;331
Total Nacional;01021 Elburgo/Burgelu;Mujeres;2025;306
Total Nacional;01021 Elburgo/Burgelu;Mujeres;2024;308
Total Nacional;01021 Elburgo/Burgelu;Mujeres;2023;306
Total Nacional;01021 Elburgo/Burgelu;Mujeres;2022;298
Total Nacional;01021 Elburgo/Burgelu;Mujeres;2021;302
Total Nacional;01022 Elciego;Total;2025;970
Total Nacional;01022 Elciego;Total;2024;953
Total Nacional;01022 Elciego;Total;2023;968
Total Nacional;01022 Elciego;Total;2022;972
Total Nacional;01022 Elciego;Total;2021;997
Total Nacional;01022 Elciego;Hombres;2025;476
Total Nacional;01022 Elciego;Hombres;2024;477
Total Nacional;01022 Elciego;Hombres;2023;489
Total Nacional;01022 Elciego;Hombres;2022;487
Total Nacional;01022 Elciego;Hombres;2021;501
Total Nacional;01022 Elciego;Mujeres;2025;494
Total Nacional;01022 Elciego;Mujeres;2024;476
Total Nacional;01022 Elciego;Mujeres;2023;479
Total Nacional;01022 Elciego;Mujeres;2022;485
Total Nacional;01022 Elciego;Mujeres;2021;496
Total Nacional;01023 Elvillar/Bilar;Total;2025;315
Total Nacional;01023 Elvillar/Bilar;Total;2024;320
Total Nacional;01023 Elvillar/Bilar;Total;2023;314
Total Nacional;01023 Elvillar/Bilar;Total;2022;322
Total Nacional;01023 Elvillar/Bilar;Total;2021;325
Total Nacional;01023 Elvillar/Bilar;Hombres;2025;149
Total Nacional;01023 Elvillar/Bilar;Hombres;2024;151
Total Nacional;01023 Elvillar/Bilar;Hombres;2023;153
Total Nacional;01023 Elvillar/Bilar;Hombres;2022;153
Total Nacional;01023 Elvillar/Bilar;Hombres;2021;158
Total Nacional;01023 Elvillar/Bilar;Mujeres;2025;166
Total Nacional;01023 Elvillar/Bilar;Mujeres;2024;169
Total Nacional;01023 Elvillar/Bilar;Mujeres;2023;161
Total Nacional;01023 Elvillar/Bilar;Mujeres;2022;169
Total Nacional;01023 Elvillar/Bilar;Mujeres;2021;167
Total Nacional;01027 Iruraiz-Gauna;Total;2025;556
Total Nacional;01027 Iruraiz-Gauna;Total;2024;550
Total Nacional;01027 Iruraiz-Gauna;Total;2023;540
Total Nacional;01027 Iruraiz-Gauna;Total;2022;536
Total Nacional;01027 Iruraiz-Gauna;Total;2021;530
Total Nacional;01027 Iruraiz-Gauna;Hombres;2025;301
Total Nacional;01027 Iruraiz-Gauna;Hombres;2024;298
Total Nacional;01027 Iruraiz-Gauna;Hombres;2023;295
Total Nacional;01027 Iruraiz-Gauna;Hombres;2022;296
Total Nacional;01027 Iruraiz-Gauna;Hombres;2021;291
Total Nacional;01027 Iruraiz-Gauna;Mujeres;2025;255
Total Nacional;01027 Iruraiz-Gauna;Mujeres;2024;252
Total Nacional;01027 Iruraiz-Gauna;Mujeres;2023;245
Total Nacional;01027 Iruraiz-Gauna;Mujeres;2022;240
Total Nacional;01027 Iruraiz-Gauna;Mujeres;2021;239
Total Nacional;01028 Labastida/Bastida;Total;2025;1.573
Total Nacional;01028 Labastida/Bastida;Total;2024;1.571
Total Nacional;01028 Labastida/Bastida;Total;2023;1.577
Total Nacional;01028 Labastida/Bastida;Total;2022;1.540
Total Nacional;01028 Labastida/Bastida;Total;2021;1.529
Total Nacional;01028 Labastida/Bastida;Hombres;2025;808
Total Nacional;01028 Labastida/Bastida;Hombres;2024;809
Total Nacional;01028 Labastida/Bastida;Hombres;2023;822
Total Nacional;01028 Labastida/Bastida;Hombres;2022;792
Total Nacional;01028 Labastida/Bastida;Hombres;2021;788
Total Nacional;01028 Labastida/Bastida;Mujeres;2025;765
Total Nacional;01028 Labastida/Bastida;Mujeres;2024;762
Total Nacional;01028 Labastida/Bastida;Mujeres;2023;755
Total Nacional;01028 Labastida/Bastida;Mujeres;2022;748
Total Nacional;01028 Labastida/Bastida;Mujeres;2021;741
Total Nacional;01030 Lagrán;Total;2025;177
Total Nacional;01030 Lagrán;Total;2024;170
Total Nacional;01030 Lagrán;Total;2023;172
Total Nacional;01030 Lagrán;Total;2022;175
Total Nacional;01030 Lagrán;Total;2021;170
Total Nacional;01030 Lagrán;Hombres;2025;98
Total Nacional;01030 Lagrán;Hombres;2024;96
Total Nacional;01030 Lagrán;Hombres;2023;97
Total Nacional;01030 Lagrán;Hombres;2022;100
Total Nacional;01030 Lagrán;Hombres;2021;98
Total Nacional;01030 Lagrán;Mujeres;2025;79
Total Nacional;01030 Lagrán;Mujeres;2024;74
Total Nacional;01030 Lagrán;Mujeres;2023;75
Total Nacional;01030 Lagrán;Mujeres;2022;75
