Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;44040 Berge;Hombres;2022;119
Total Nacional;44040 Berge;Hombres;2021;116
Total Nacional;44040 Berge;Mujeres;2025;104
Total Nacional;44040 Berge;Mujeres;2024;103
Total Nacional;44040 Berge;Mujeres;2023;110
Total Nacional;44040 Berge;Mujeres;2022;111
Total Nacional;44040 Berge;Mujeres;2021;118
Total Nacional;44041 Bezas;Total;2025;73
Total Nacional;44041 Bezas;Total;2024;68
Total Nacional;44041 Bezas;Total;2023;64
Total Nacional;44041 Bezas;Total;2022;63
Total Nacional;44041 Bezas;Total;2021;63
Total Nacional;44041 Bezas;Hombres;2025;43
Total Nacional;44041 Bezas;Hombres;2024;40
Total Nacional;44041 Bezas;Hombres;2023;39
Total Nacional;44041 Bezas;Hombres;2022;41
Total Nacional;44041 Bezas;Hombres;2021;40
Total Nacional;44041 Bezas;Mujeres;2025;30
Total Nacional;44041 Bezas;Mujeres;2024;28
Total Nacional;44041 Bezas;Mujeres;2023;25
Total Nacional;44041 Bezas;Mujeres;2022;22
Total Nacional;44041 Bezas;Mujeres;2021;23
Total Nacional;44042 Blancas;Total;2025;132
Total Nacional;44042 Blancas;Total;2024;134
Total Nacional;44042 Blancas;Total;2023;135
Total Nacional;44042 Blancas;Total;2022;140
Total Nacional;44042 Blancas;Total;2021;124
Total Nacional;44042 Blancas;Hombres;2025;79
Total Nacional;44042 Blancas;Hombres;2024;79
Total Nacional;44042 Blancas;Hombres;2023;79
Total Nacional;44042 Blancas;Hombres;2022;84
Total Nacional;44042 Blancas;Hombres;2021;73
Total Nacional;44042 Blancas;Mujeres;2025;53
Total Nacional;44042 Blancas;Mujeres;2024;55
Total Nacional;44042 Blancas;Mujeres;2023;56
Total Nacional;44042 Blancas;Mujeres;2022;56
Total Nacional;44042 Blancas;Mujeres;2021;51
Total Nacional;44043 Blesa;Total;2025;74
Total Nacional;44043 Blesa;Total;2024;76
Total Nacional;44043 Blesa;Total;2023;78
Total Nacional;44043 Blesa;Total;2022;88
Total Nacional;44043 Blesa;Total;2021;86
Total Nacional;44043 Blesa;Hombres;2025;53
Total Nacional;44043 Blesa;Hombres;2024;54
Total Nacional;44043 Blesa;Hombres;2023;55
Total Nacional;44043 Blesa;Hombres;2022;58
Total Nacional;44043 Blesa;Hombres;2021;56
Total Nacional;44043 Blesa;Mujeres;2025;21
Total Nacional;44043 Blesa;Mujeres;2024;22
Total Nacional;44043 Blesa;Mujeres;2023;23
Total Nacional;44043 Blesa;Mujeres;2022;30
Total Nacional;44043 Blesa;Mujeres;2021;30
Total Nacional;44044 Bordón;Total;2025;116
Total Nacional;44044 Bordón;Total;2024;113
Total Nacional;44044 Bordón;Total;2023;112
Total Nacional;44044 Bordón;Total;2022;113
Total Nacional;44044 Bordón;Total;2021;116
Total Nacional;44044 Bordón;Hombres;2025;68
Total Nacional;44044 Bordón;Hombres;2024;66
Total Nacional;44044 Bordón;Hombres;2023;65
Total Nacional;44044 Bordón;Hombres;2022;66
Total Nacional;44044 Bordón;Hombres;2021;66
Total Nacional;44044 Bordón;Mujeres;2025;48
Total Nacional;44044 Bordón;Mujeres;2024;47
Total Nacional;44044 Bordón;Mujeres;2023;47
Total Nacional;44044 Bordón;Mujeres;2022;47
Total Nacional;44044 Bordón;Mujeres;2021;50
Total Nacional;44045 Bronchales;Total;2025;475
Total Nacional;44045 Bronchales;Total;2024;462
Total Nacional;44045 Bronchales;Total;2023;470
Total Nacional;44045 Bronchales;Total;2022;449
Total Nacional;44045 Bronchales;Total;2021;432
Total Nacional;44045 Bronchales;Hombres;2025;260
Total Nacional;44045 Bronchales;Hombres;2024;254
Total Nacional;44045 Bronchales;Hombres;2023;261
Total Nacional;44045 Bronchales;Hombres;2022;250
Total Nacional;44045 Bronchales;Hombres;2021;243
Total Nacional;44045 Bronchales;Mujeres;2025;215
Total Nacional;44045 Bronchales;Mujeres;2024;208
Total Nacional;44045 Bronchales;Mujeres;2023;209
Total Nacional;44045 Bronchales;Mujeres;2022;199
Total Nacional;44045 Bronchales;Mujeres;2021;189
Total Nacional;44046 Bueña;Total;2025;65
Total Nacional;44046 Bueña;Total;2024;56
Total Nacional;44046 Bueña;Total;2023;55
Total Nacional;44046 Bueña;Total;2022;51
Total Nacional;44046 Bueña;Total;2021;52
Total Nacional;44046 Bueña;Hombres;2025;34
Total Nacional;44046 Bueña;Hombres;2024;28
Total Nacional;44046 Bueña;Hombres;2023;27
Total Nacional;44046 Bueña;Hombres;2022;27
Total Nacional;44046 Bueña;Hombres;2021;28
Total Nacional;44046 Bueña;Mujeres;2025;31
Total Nacional;44046 Bueña;Mujeres;2024;28
Total Nacional;44046 Bueña;Mujeres;2023;28
Total Nacional;44046 Bueña;Mujeres;2022;24
Total Nacional;44046 Bueña;Mujeres;2021;24
Total Nacional;44047 Burbáguena;Total;2025;397
Total Nacional;44047 Burbáguena;Total;2024;352
Total Nacional;44047 Burbáguena;Total;2023;376
Total Nacional;44047 Burbáguena;Total;2022;272
Total Nacional;44047 Burbáguena;Total;2021;207
Total Nacional;44047 Burbáguena;Hombres;2025;228
Total Nacional;44047 Burbáguena;Hombres;2024;190
Total Nacional;44047 Burbáguena;Hombres;2023;207
Total Nacional;44047 Burbáguena;Hombres;2022;161
Total Nacional;44047 Burbáguena;Hombres;2021;116
Total Nacional;44047 Burbáguena;Mujeres;2025;169
Total Nacional;44047 Burbáguena;Mujeres;2024;162
Total Nacional;44047 Burbáguena;Mujeres;2023;169
Total Nacional;44047 Burbáguena;Mujeres;2022;111
Total Nacional;44047 Burbáguena;Mujeres;2021;91
Total Nacional;44048 Cabra de Mora;Total;2025;66
Total Nacional;44048 Cabra de Mora;Total;2024;66
Total Nacional;44048 Cabra de Mora;Total;2023;71
Total Nacional;44048 Cabra de Mora;Total;2022;69
Total Nacional;44048 Cabra de Mora;Total;2021;68
Total Nacional;44048 Cabra de Mora;Hombres;2025;41
Total Nacional;44048 Cabra de Mora;Hombres;2024;41
Total Nacional;44048 Cabra de Mora;Hombres;2023;42
Total Nacional;44048 Cabra de Mora;Hombres;2022;43
Total Nacional;44048 Cabra de Mora;Hombres;2021;44
Total Nacional;44048 Cabra de Mora;Mujeres;2025;25
Total Nacional;44048 Cabra de Mora;Mujeres;2024;25
Total Nacional;44048 Cabra de Mora;Mujeres;2023;29
Total Nacional;44048 Cabra de Mora;Mujeres;2022;26
Total Nacional;44048 Cabra de Mora;Mujeres;2021;24
Total Nacional;44049 Calaceite;Total;2025;961
Total Nacional;44049 Calaceite;Total;2024;959
Total Nacional;44049 Calaceite;Total;2023;977
Total Nacional;44049 Calaceite;Total;2022;993
Total Nacional;44049 Calaceite;Total;2021;981
Total Nacional;44049 Calaceite;Hombres;2025;483
Total Nacional;44049 Calaceite;Hombres;2024;477
Total Nacional;44049 Calaceite;Hombres;2023;484
Total Nacional;44049 Calaceite;Hombres;2022;490
Total Nacional;44049 Calaceite;Hombres;2021;482
Total Nacional;44049 Calaceite;Mujeres;2025;478
Total Nacional;44049 Calaceite;Mujeres;2024;482
Total Nacional;44049 Calaceite;Mujeres;2023;493
Total Nacional;44049 Calaceite;Mujeres;2022;503
Total Nacional;44049 Calaceite;Mujeres;2021;499
Total Nacional;44050 Calamocha;Total;2025;4.628
Total Nacional;44050 Calamocha;Total;2024;4.516
Total Nacional;44050 Calamocha;Total;2023;4.469
Total Nacional;44050 Calamocha;Total;2022;4.474
Total Nacional;44050 Calamocha;Total;2021;4.457
Total Nacional;44050 Calamocha;Hombres;2025;2.339
Total Nacional;44050 Calamocha;Hombres;2024;2.262
Total Nacional;44050 Calamocha;Hombres;2023;2.245
Total Nacional;44050 Calamocha;Hombres;2022;2.233
Total Nacional;44050 Calamocha;Hombres;2021;2.205
Total Nacional;44050 Calamocha;Mujeres;2025;2.289
Total Nacional;44050 Calamocha;Mujeres;2024;2.254
Total Nacional;44050 Calamocha;Mujeres;2023;2.224
Total Nacional;44050 Calamocha;Mujeres;2022;2.241
Total Nacional;44050 Calamocha;Mujeres;2021;2.252
Total Nacional;44051 Calanda;Total;2025;3.803
Total Nacional;44051 Calanda;Total;2024;3.692
Total Nacional;44051 Calanda;Total;2023;3.754
Total Nacional;44051 Calanda;Total;2022;3.746
Total Nacional;44051 Calanda;Total;2021;3.743
Total Nacional;44051 Calanda;Hombres;2025;1.907
Total Nacional;44051 Calanda;Hombres;2024;1.845
Total Nacional;44051 Calanda;Hombres;2023;1.882
Total Nacional;44051 Calanda;Hombres;2022;1.880
Total Nacional;44051 Calanda;Hombres;2021;1.860
Total Nacional;44051 Calanda;Mujeres;2025;1.896
Total Nacional;44051 Calanda;Mujeres;2024;1.847
Total Nacional;44051 Calanda;Mujeres;2023;1.872
Total Nacional;44051 Calanda;Mujeres;2022;1.866
Total Nacional;44051 Calanda;Mujeres;2021;1.883
Total Nacional;44052 Calomarde;Total;2025;76
Total Nacional;44052 Calomarde;Total;2024;74
Total Nacional;44052 Calomarde;Total;2023;73
Total Nacional;44052 Calomarde;Total;2022;77
Total Nacional;44052 Calomarde;Total;2021;77
Total Nacional;44052 Calomarde;Hombres;2025;47
Total Nacional;44052 Calomarde;Hombres;2024;45
Total Nacional;44052 Calomarde;Hombres;2023;43
Total Nacional;44052 Calomarde;Hombres;2022;44
Total Nacional;44052 Calomarde;Hombres;2021;45
Total Nacional;44052 Calomarde;Mujeres;2025;29
Total Nacional;44052 Calomarde;Mujeres;2024;29
Total Nacional;44052 Calomarde;Mujeres;2023;30
Total Nacional;44052 Calomarde;Mujeres;2022;33
Total Nacional;44052 Calomarde;Mujeres;2021;32
Total Nacional;44053 Camañas;Total;2025;136
Total Nacional;44053 Camañas;Total;2024;128
Total Nacional;44053 Camañas;Total;2023;133
Total Nacional;44053 Camañas;Total;2022;137
Total Nacional;44053 Camañas;Total;2021;139
Total Nacional;44053 Camañas;Hombres;2025;75
Total Nacional;44053 Camañas;Hombres;2024;70
Total Nacional;44053 Camañas;Hombres;2023;73
Total Nacional;44053 Camañas;Hombres;2022;75
Total Nacional;44053 Camañas;Hombres;2021;77
Total Nacional;44053 Camañas;Mujeres;2025;61
Total Nacional;44053 Camañas;Mujeres;2024;58
Total Nacional;44053 Camañas;Mujeres;2023;60
Total Nacional;44053 Camañas;Mujeres;2022;62
Total Nacional;44053 Camañas;Mujeres;2021;62
Total Nacional;44054 Camarena de la Sierra;Total;2025;139
Total Nacional;44054 Camarena de la Sierra;Total;2024;142
Total Nacional;44054 Camarena de la Sierra;Total;2023;135
Total Nacional;44054 Camarena de la Sierra;Total;2022;123
Total Nacional;44054 Camarena de la Sierra;Total;2021;115
Total Nacional;44054 Camarena de la Sierra;Hombres;2025;79
Total Nacional;44054 Camarena de la Sierra;Hombres;2024;76
Total Nacional;44054 Camarena de la Sierra;Hombres;2023;74
Total Nacional;44054 Camarena de la Sierra;Hombres;2022;69
Total Nacional;44054 Camarena de la Sierra;Hombres;2021;68
Total Nacional;44054 Camarena de la Sierra;Mujeres;2025;60
Total Nacional;44054 Camarena de la Sierra;Mujeres;2024;66
Total Nacional;44054 Camarena de la Sierra;Mujeres;2023;61
Total Nacional;44054 Camarena de la Sierra;Mujeres;2022;54
Total Nacional;44054 Camarena de la Sierra;Mujeres;2021;47
Total Nacional;44055 Camarillas;Total;2025;100
Total Nacional;44055 Camarillas;Total;2024;120
Total Nacional;44055 Camarillas;Total;2023;121
Total Nacional;44055 Camarillas;Total;2022;85
Total Nacional;44055 Camarillas;Total;2021;82
Total Nacional;44055 Camarillas;Hombres;2025;59
Total Nacional;44055 Camarillas;Hombres;2024;71
Total Nacional;44055 Camarillas;Hombres;2023;63
Total Nacional;44055 Camarillas;Hombres;2022;49
Total Nacional;44055 Camarillas;Hombres;2021;50
Total Nacional;44055 Camarillas;Mujeres;2025;41
Total Nacional;44055 Camarillas;Mujeres;2024;49
Total Nacional;44055 Camarillas;Mujeres;2023;58
Total Nacional;44055 Camarillas;Mujeres;2022;36
Total Nacional;44055 Camarillas;Mujeres;2021;32
Total Nacional;44056 Caminreal;Total;2025;608
Total Nacional;44056 Caminreal;Total;2024;617
Total Nacional;44056 Caminreal;Total;2023;614
Total Nacional;44056 Caminreal;Total;2022;624
Total Nacional;44056 Caminreal;Total;2021;627
Total Nacional;44056 Caminreal;Hombres;2025;326
Total Nacional;44056 Caminreal;Hombres;2024;330
Total Nacional;44056 Caminreal;Hombres;2023;329
Total Nacional;44056 Caminreal;Hombres;2022;330
Total Nacional;44056 Caminreal;Hombres;2021;328
Total Nacional;44056 Caminreal;Mujeres;2025;282
Total Nacional;44056 Caminreal;Mujeres;2024;287
Total Nacional;44056 Caminreal;Mujeres;2023;285
Total Nacional;44056 Caminreal;Mujeres;2022;294
Total Nacional;44056 Caminreal;Mujeres;2021;299
Total Nacional;44059 Cantavieja;Total;2025;727
Total Nacional;44059 Cantavieja;Total;2024;717
Total Nacional;44059 Cantavieja;Total;2023;718
Total Nacional;44059 Cantavieja;Total;2022;707
Total Nacional;44059 Cantavieja;Total;2021;734
Total Nacional;44059 Cantavieja;Hombres;2025;375
Total Nacional;44059 Cantavieja;Hombres;2024;371
Total Nacional;44059 Cantavieja;Hombres;2023;373
Total Nacional;44059 Cantavieja;Hombres;2022;370
Total Nacional;44059 Cantavieja;Hombres;2021;388
Total Nacional;44059 Cantavieja;Mujeres;2025;352
Total Nacional;44059 Cantavieja;Mujeres;2024;346
Total Nacional;44059 Cantavieja;Mujeres;2023;345
Total Nacional;44059 Cantavieja;Mujeres;2022;337
Total Nacional;44059 Cantavieja;Mujeres;2021;346
Total Nacional;44060 Cañada de Benatanduz;Total;2025;40
Total Nacional;44060 Cañada de Benatanduz;Total;2024;39
Total Nacional;44060 Cañada de Benatanduz;Total;2023;34
Total Nacional;44060 Cañada de Benatanduz;Total;2022;35
Total Nacional;44060 Cañada de Benatanduz;Total;2021;34
Total Nacional;44060 Cañada de Benatanduz;Hombres;2025;25
Total Nacional;44060 Cañada de Benatanduz;Hombres;2024;24
Total Nacional;44060 Cañada de Benatanduz;Hombres;2023;22
Total Nacional;44060 Cañada de Benatanduz;Hombres;2022;22
Total Nacional;44060 Cañada de Benatanduz;Hombres;2021;22
Total Nacional;44060 Cañada de Benatanduz;Mujeres;2025;15
Total Nacional;44060 Cañada de Benatanduz;Mujeres;2024;15
Total Nacional;44060 Cañada de Benatanduz;Mujeres;2023;12
Total Nacional;44060 Cañada de Benatanduz;Mujeres;2022;13
Total Nacional;44060 Cañada de Benatanduz;Mujeres;2021;12
Total Nacional;44061 Cañada de Verich, La;Total;2025;72
Total Nacional;44061 Cañada de Verich, La;Total;2024;80
Total Nacional;44061 Cañada de Verich, La;Total;2023;87
Total Nacional;44061 Cañada de Verich, La;Total;2022;97
Total Nacional;44061 Cañada de Verich, La;Total;2021;100
Total Nacional;44061 Cañada de Verich, La;Hombres;2025;44
Total Nacional;44061 Cañada de Verich, La;Hombres;2024;48
Total Nacional;44061 Cañada de Verich, La;Hombres;2023;52
Total Nacional;44061 Cañada de Verich, La;Hombres;2022;55
Total Nacional;44061 Cañada de Verich, La;Hombres;2021;57
Total Nacional;44061 Cañada de Verich, La;Mujeres;2025;28
Total Nacional;44061 Cañada de Verich, La;Mujeres;2024;32
Total Nacional;44061 Cañada de Verich, La;Mujeres;2023;35
Total Nacional;44061 Cañada de Verich, La;Mujeres;2022;42
Total Nacional;44061 Cañada de Verich, La;Mujeres;2021;43
Total Nacional;44062 Cañada Vellida;Total;2025;36
Total Nacional;44062 Cañada Vellida;Total;2024;38
Total Nacional;44062 Cañada Vellida;Total;2023;40
Total Nacional;44062 Cañada Vellida;Total;2022;38
Total Nacional;44062 Cañada Vellida;Total;2021;37
Total Nacional;44062 Cañada Vellida;Hombres;2025;23
Total Nacional;44062 Cañada Vellida;Hombres;2024;24
Total Nacional;44062 Cañada Vellida;Hombres;2023;27
Total Nacional;44062 Cañada Vellida;Hombres;2022;27
Total Nacional;44062 Cañada Vellida;Hombres;2021;26
Total Nacional;44062 Cañada Vellida;Mujeres;2025;13
Total Nacional;44062 Cañada Vellida;Mujeres;2024;14
Total Nacional;44062 Cañada Vellida;Mujeres;2023;13
Total Nacional;44062 Cañada Vellida;Mujeres;2022;11
Total Nacional;44062 Cañada Vellida;Mujeres;2021;11
Total Nacional;44063 Cañizar del Olivar;Total;2025;112
Total Nacional;44063 Cañizar del Olivar;Total;2024;110
Total Nacional;44063 Cañizar del Olivar;Total;2023;103
Total Nacional;44063 Cañizar del Olivar;Total;2022;102
Total Nacional;44063 Cañizar del Olivar;Total;2021;104
Total Nacional;44063 Cañizar del Olivar;Hombres;2025;65
Total Nacional;44063 Cañizar del Olivar;Hombres;2024;64
Total Nacional;44063 Cañizar del Olivar;Hombres;2023;58
Total Nacional;44063 Cañizar del Olivar;Hombres;2022;59
Total Nacional;44063 Cañizar del Olivar;Hombres;2021;59
Total Nacional;44063 Cañizar del Olivar;Mujeres;2025;47
Total Nacional;44063 Cañizar del Olivar;Mujeres;2024;46
Total Nacional;44063 Cañizar del Olivar;Mujeres;2023;45
Total Nacional;44063 Cañizar del Olivar;Mujeres;2022;43
Total Nacional;44063 Cañizar del Olivar;Mujeres;2021;45
Total Nacional;44064 Cascante del Río;Total;2025;73
Total Nacional;44064 Cascante del Río;Total;2024;65
Total Nacional;44064 Cascante del Río;Total;2023;70
Total Nacional;44064 Cascante del Río;Total;2022;66
Total Nacional;44064 Cascante del Río;Total;2021;70
Total Nacional;44064 Cascante del Río;Hombres;2025;42
Total Nacional;44064 Cascante del Río;Hombres;2024;39
Total Nacional;44064 Cascante del Río;Hombres;2023;41
Total Nacional;44064 Cascante del Río;Hombres;2022;38
Total Nacional;44064 Cascante del Río;Hombres;2021;42
Total Nacional;44064 Cascante del Río;Mujeres;2025;31
Total Nacional;44064 Cascante del Río;Mujeres;2024;26
Total Nacional;44064 Cascante del Río;Mujeres;2023;29
Total Nacional;44064 Cascante del Río;Mujeres;2022;28
Total Nacional;44064 Cascante del Río;Mujeres;2021;28
Total Nacional;44065 Castejón de Tornos;Total;2025;66
Total Nacional;44065 Castejón de Tornos;Total;2024;66
Total Nacional;44065 Castejón de Tornos;Total;2023;70
Total Nacional;44065 Castejón de Tornos;Total;2022;53
Total Nacional;44065 Castejón de Tornos;Total;2021;51
Total Nacional;44065 Castejón de Tornos;Hombres;2025;38
Total Nacional;44065 Castejón de Tornos;Hombres;2024;39
Total Nacional;44065 Castejón de Tornos;Hombres;2023;39
Total Nacional;44065 Castejón de Tornos;Hombres;2022;34
Total Nacional;44065 Castejón de Tornos;Hombres;2021;33
Total Nacional;44065 Castejón de Tornos;Mujeres;2025;28
Total Nacional;44065 Castejón de Tornos;Mujeres;2024;27
Total Nacional;44065 Castejón de Tornos;Mujeres;2023;31
Total Nacional;44065 Castejón de Tornos;Mujeres;2022;19
Total Nacional;44065 Castejón de Tornos;Mujeres;2021;18
Total Nacional;44066 Castel de Cabra;Total;2025;79
Total Nacional;44066 Castel de Cabra;Total;2024;84
Total Nacional;44066 Castel de Cabra;Total;2023;89
Total Nacional;44066 Castel de Cabra;Total;2022;95
Total Nacional;44066 Castel de Cabra;Total;2021;95
Total Nacional;44066 Castel de Cabra;Hombres;2025;44
Total Nacional;44066 Castel de Cabra;Hombres;2024;46
Total Nacional;44066 Castel de Cabra;Hombres;2023;49
Total Nacional;44066 Castel de Cabra;Hombres;2022;54
Total Nacional;44066 Castel de Cabra;Hombres;2021;53
Total Nacional;44066 Castel de Cabra;Mujeres;2025;35
Total Nacional;44066 Castel de Cabra;Mujeres;2024;38
Total Nacional;44066 Castel de Cabra;Mujeres;2023;40
Total Nacional;44066 Castel de Cabra;Mujeres;2022;41
Total Nacional;44066 Castel de Cabra;Mujeres;2021;42
Total Nacional;44067 Castelnou;Total;2025;92
Total Nacional;44067 Castelnou;Total;2024;102
Total Nacional;44067 Castelnou;Total;2023;109
Total Nacional;44067 Castelnou;Total;2022;113
Total Nacional;44067 Castelnou;Total;2021;121
Total Nacional;44067 Castelnou;Hombres;2025;50
Total Nacional;44067 Castelnou;Hombres;2024;53
Total Nacional;44067 Castelnou;Hombres;2023;56
Total Nacional;44067 Castelnou;Hombres;2022;61
Total Nacional;44067 Castelnou;Hombres;2021;63
Total Nacional;44067 Castelnou;Mujeres;2025;42
Total Nacional;44067 Castelnou;Mujeres;2024;49
Total Nacional;44067 Castelnou;Mujeres;2023;53
Total Nacional;44067 Castelnou;Mujeres;2022;52
Total Nacional;44067 Castelnou;Mujeres;2021;58
Total Nacional;44068 Castelserás;Total;2025;804
Total Nacional;44068 Castelserás;Total;2024;802
Total Nacional;44068 Castelserás;Total;2023;795
Total Nacional;44068 Castelserás;Total;2022;791
Total Nacional;44068 Castelserás;Total;2021;788
Total Nacional;44068 Castelserás;Hombres;2025;422
Total Nacional;44068 Castelserás;Hombres;2024;421
Total Nacional;44068 Castelserás;Hombres;2023;422
Total Nacional;44068 Castelserás;Hombres;2022;420
Total Nacional;44068 Castelserás;Hombres;2021;414
Total Nacional;44068 Castelserás;Mujeres;2025;382
Total Nacional;44068 Castelserás;Mujeres;2024;381
Total Nacional;44068 Castelserás;Mujeres;2023;373
Total Nacional;44068 Castelserás;Mujeres;2022;371
Total Nacional;44068 Castelserás;Mujeres;2021;374
Total Nacional;44070 Castellar, El;Total;2025;54
Total Nacional;44070 Castellar, El;Total;2024;56
Total Nacional;44070 Castellar, El;Total;2023;55
Total Nacional;44070 Castellar, El;Total;2022;55
Total Nacional;44070 Castellar, El;Total;2021;56
Total Nacional;44070 Castellar, El;Hombres;2025;35
Total Nacional;44070 Castellar, El;Hombres;2024;37
Total Nacional;44070 Castellar, El;Hombres;2023;37
Total Nacional;44070 Castellar, El;Hombres;2022;37
Total Nacional;44070 Castellar, El;Hombres;2021;38
Total Nacional;44070 Castellar, El;Mujeres;2025;19
Total Nacional;44070 Castellar, El;Mujeres;2024;19
Total Nacional;44070 Castellar, El;Mujeres;2023;18
Total Nacional;44070 Castellar, El;Mujeres;2022;18
Total Nacional;44070 Castellar, El;Mujeres;2021;18
Total Nacional;44071 Castellote;Total;2025;666
Total Nacional;44071 Castellote;Total;2024;661
Total Nacional;44071 Castellote;Total;2023;678
Total Nacional;44071 Castellote;Total;2022;674
Total Nacional;44071 Castellote;Total;2021;684
Total Nacional;44071 Castellote;Hombres;2025;343
Total Nacional;44071 Castellote;Hombres;2024;339
Total Nacional;44071 Castellote;Hombres;2023;345
Total Nacional;44071 Castellote;Hombres;2022;344
Total Nacional;44071 Castellote;Hombres;2021;347
Total Nacional;44071 Castellote;Mujeres;2025;323
Total Nacional;44071 Castellote;Mujeres;2024;322
Total Nacional;44071 Castellote;Mujeres;2023;333
Total Nacional;44071 Castellote;Mujeres;2022;330
Total Nacional;44071 Castellote;Mujeres;2021;337
Total Nacional;44074 Cedrillas;Total;2025;656
Total Nacional;44074 Cedrillas;Total;2024;645
Total Nacional;44074 Cedrillas;Total;2023;652
Total Nacional;44074 Cedrillas;Total;2022;634
Total Nacional;44074 Cedrillas;Total;2021;609
Total Nacional;44074 Cedrillas;Hombres;2025;348
Total Nacional;44074 Cedrillas;Hombres;2024;332
Total Nacional;44074 Cedrillas;Hombres;2023;330
Total Nacional;44074 Cedrillas;Hombres;2022;319
Total Nacional;44074 Cedrillas;Hombres;2021;299
Total Nacional;44074 Cedrillas;Mujeres;2025;308
Total Nacional;44074 Cedrillas;Mujeres;2024;313
Total Nacional;44074 Cedrillas;Mujeres;2023;322
Total Nacional;44074 Cedrillas;Mujeres;2022;315
Total Nacional;44074 Cedrillas;Mujeres;2021;310
Total Nacional;44075 Celadas;Total;2025;335
Total Nacional;44075 Celadas;Total;2024;329
Total Nacional;44075 Celadas;Total;2023;342
Total Nacional;44075 Celadas;Total;2022;362
Total Nacional;44075 Celadas;Total;2021;373
Total Nacional;44075 Celadas;Hombres;2025;191
Total Nacional;44075 Celadas;Hombres;2024;189
Total Nacional;44075 Celadas;Hombres;2023;197
Total Nacional;44075 Celadas;Hombres;2022;209
Total Nacional;44075 Celadas;Hombres;2021;214
Total Nacional;44075 Celadas;Mujeres;2025;144
Total Nacional;44075 Celadas;Mujeres;2024;140
Total Nacional;44075 Celadas;Mujeres;2023;145
Total Nacional;44075 Celadas;Mujeres;2022;153
Total Nacional;44075 Celadas;Mujeres;2021;159
Total Nacional;44076 Cella;Total;2025;2.694
Total Nacional;44076 Cella;Total;2024;2.664
Total Nacional;44076 Cella;Total;2023;2.637
Total Nacional;44076 Cella;Total;2022;2.602
Total Nacional;44076 Cella;Total;2021;2.573
Total Nacional;44076 Cella;Hombres;2025;1.384
Total Nacional;44076 Cella;Hombres;2024;1.374
Total Nacional;44076 Cella;Hombres;2023;1.352
Total Nacional;44076 Cella;Hombres;2022;1.342
Total Nacional;44076 Cella;Hombres;2021;1.330
Total Nacional;44076 Cella;Mujeres;2025;1.310
Total Nacional;44076 Cella;Mujeres;2024;1.290
Total Nacional;44076 Cella;Mujeres;2023;1.285
Total Nacional;44076 Cella;Mujeres;2022;1.260
Total Nacional;44076 Cella;Mujeres;2021;1.243
Total Nacional;44077 Cerollera, La;Total;2025;78
Total Nacional;44077 Cerollera, La;Total;2024;77
Total Nacional;44077 Cerollera, La;Total;2023;76
Total Nacional;44077 Cerollera, La;Total;2022;74
Total Nacional;44077 Cerollera, La;Total;2021;83
Total Nacional;44077 Cerollera, La;Hombres;2025;49
Total Nacional;44077 Cerollera, La;Hombres;2024;48
Total Nacional;44077 Cerollera, La;Hombres;2023;50
Total Nacional;44077 Cerollera, La;Hombres;2022;48
Total Nacional;44077 Cerollera, La;Hombres;2021;52
Total Nacional;44077 Cerollera, La;Mujeres;2025;29
Total Nacional;44077 Cerollera, La;Mujeres;2024;29
Total Nacional;44077 Cerollera, La;Mujeres;2023;26
Total Nacional;44077 Cerollera, La;Mujeres;2022;26
Total Nacional;44077 Cerollera, La;Mujeres;2021;31
Total Nacional;44080 Codoñera, La;Total;2025;313
Total Nacional;44080 Codoñera, La;Total;2024;321
Total Nacional;44080 Codoñera, La;Total;2023;320
Total Nacional;44080 Codoñera, La;Total;2022;316
Total Nacional;44080 Codoñera, La;Total;2021;315
Total Nacional;44080 Codoñera, La;Hombres;2025;165
Total Nacional;44080 Codoñera, La;Hombres;2024;172
Total Nacional;44080 Codoñera, La;Hombres;2023;169
Total Nacional;44080 Codoñera, La;Hombres;2022;164
Total Nacional;44080 Codoñera, La;Hombres;2021;166
Total Nacional;44080 Codoñera, La;Mujeres;2025;148
Total Nacional;44080 Codoñera, La;Mujeres;2024;149
Total Nacional;44080 Codoñera, La;Mujeres;2023;151
Total Nacional;44080 Codoñera, La;Mujeres;2022;152
Total Nacional;44080 Codoñera, La;Mujeres;2021;149
Total Nacional;44082 Corbalán;Total;2025;118
Total Nacional;44082 Corbalán;Total;2024;118
Total Nacional;44082 Corbalán;Total;2023;113
Total Nacional;44082 Corbalán;Total;2022;110
Total Nacional;44082 Corbalán;Total;2021;108
Total Nacional;44082 Corbalán;Hombres;2025;59
Total Nacional;44082 Corbalán;Hombres;2024;58
Total Nacional;44082 Corbalán;Hombres;2023;59
Total Nacional;44082 Corbalán;Hombres;2022;56
Total Nacional;44082 Corbalán;Hombres;2021;56
Total Nacional;44082 Corbalán;Mujeres;2025;59
Total Nacional;44082 Corbalán;Mujeres;2024;60
Total Nacional;44082 Corbalán;Mujeres;2023;54
Total Nacional;44082 Corbalán;Mujeres;2022;54
Total Nacional;44082 Corbalán;Mujeres;2021;52
Total Nacional;44084 Cortes de Aragón;Total;2025;62
Total Nacional;44084 Cortes de Aragón;Total;2024;65
Total Nacional;44084 Cortes de Aragón;Total;2023;61
Total Nacional;44084 Cortes de Aragón;Total;2022;61
